Operating Voltage,GO Conc.,Amine Conc. (mol/L) ,NaOH Conc.  (mol/L),Rxn. Time (hr),Rxn. Temp (ï¿½C),Mixing speed (rpm),Drying time (min),Drying Temp (ï¿½C),Centrifuge (rpm),Centrifuge (min)
0.1,10,1,1,24,22,110,10,60,7600,45
Time,2.79,4.36,6.34,0.6,0.68,,,,,
0,-1.10E+01,-2.74E+01,1.56E-01,-3.84E+00,-3.84E+00,,,,,
1,-7.41E+00,-1.76E+01,9.37E-02,-2.84E+00,-2.84E+00,,,,,
2,-5.28E+00,-1.22E+01,1.56E-01,-1.91E+00,-1.91E+00,,,,,
3,-3.91E+00,-8.91E+00,1.56E-01,-1.66E+00,-1.66E+00,,,,,
4,-3.03E+00,-6.91E+00,9.37E-02,-1.03E+00,-1.03E+00,,,,,
5,-2.82E+00,-5.87E+00,-9.37E-03,-1.02E+00,-1.02E+00,,,,,
6,-2.40E+00,-4.90E+00,-9.37E-03,-8.41E-01,-8.41E-01,,,,,
7,-2.07E+00,-4.21E+00,-9.37E-03,-7.28E-01,-7.28E-01,,,,,
8,-1.82E+00,-3.68E+00,-9.37E-03,-6.47E-01,-6.47E-01,,,,,
9,-1.65E+00,-3.28E+00,-9.37E-03,-6.16E-01,-6.16E-01,,,,,
10,-1.54E+00,-2.96E+00,3.12E-04,-5.68E-01,-5.68E-01,,,,,
11,-1.43E+00,-2.74E+00,9.37E-04,-5.29E-01,-5.29E-01,,,,,
12,-1.34E+00,-2.54E+00,9.37E-04,-4.99E-01,-4.99E-01,,,,,
13,-1.27E+00,-2.38E+00,9.37E-04,-4.76E-01,-4.76E-01,,,,,
14,-1.20E+00,-2.24E+00,9.37E-04,-4.57E-01,-4.57E-01,,,,,
15,-1.15E+00,-2.13E+00,5.47E-04,-4.39E-01,-4.39E-01,,,,,
16,-1.11E+00,-2.03E+00,1.56E-04,-4.28E-01,-4.28E-01,,,,,
17,-1.07E+00,-1.94E+00,1.56E-04,-4.18E-01,-4.18E-01,,,,,
18,-1.04E+00,-1.87E+00,9.37E-05,-4.08E-01,-4.08E-01,,,,,
19,-1.01E+00,-1.80E+00,1.56E-04,-4.01E-01,-4.01E-01,,,,,
20,-9.80E-01,-1.74E+00,9.37E-05,-3.93E-01,-3.93E-01,,,,,
21,-9.57E-01,-1.69E+00,9.37E-05,-3.87E-01,-3.87E-01,,,,,
22,-9.40E-01,-1.64E+00,9.37E-05,-3.81E-01,-3.81E-01,,,,,
23,-9.20E-01,-1.61E+00,1.56E-04,-3.76E-01,-3.76E-01,,,,,
24,-9.01E-01,-1.58E+00,1.56E-04,-3.71E-01,-3.71E-01,,,,,
25,-8.85E-01,-1.54E+00,9.37E-05,-3.67E-01,-3.67E-01,,,,,
26,-8.69E-01,-1.51E+00,9.37E-05,-3.64E-01,-3.64E-01,,,,,
27,-8.57E-01,-1.47E+00,9.37E-05,-3.60E-01,-3.60E-01,,,,,
28,-8.44E-01,-1.44E+00,3.12E-05,-3.56E-01,-3.56E-01,,,,,
29,-8.31E-01,-1.42E+00,3.12E-05,-3.53E-01,-3.53E-01,,,,,
30,-8.20E-01,-1.39E+00,9.37E-05,-3.50E-01,-3.50E-01,,,,,
31,-8.09E-01,-1.36E+00,9.37E-05,-3.48E-01,-3.48E-01,,,,,
32,-7.98E-01,-1.34E+00,9.37E-05,-3.46E-01,-3.46E-01,,,,,
33,-7.88E-01,-1.32E+00,9.37E-05,-3.44E-01,-3.44E-01,,,,,
34,-7.75E-01,-1.30E+00,9.37E-05,-3.42E-01,-3.42E-01,,,,,
35,-7.64E-01,-1.28E+00,9.37E-05,-3.39E-01,-3.39E-01,,,,,
