Operating Voltage,GO Conc.,Amine Conc. (mol/L) ,NaOH Conc.  (mol/L),Rxn. Time (hr),Rxn. Temp (ï¿½C),Mixing speed (rpm),Drying time (min),Drying Temp (ï¿½C),Centrifuge (rpm),Centrifuge (min)
0.1,10,1,1,24,22,110,10,60,7600,45
Time,0.77,2.16,4.88,7.62,6.48,,,,,
0,-1.91E+00,-7.78E+00,-3.02E+01,-3.29E+01,-2.13E+01,,,,,
1,-1.59E+00,-5.22E+00,-2.02E+01,-2.40E+01,-1.59E+01,,,,,
2,-9.06E-01,-3.91E+00,-1.47E+01,-1.83E+01,-1.27E+01,,,,,
3,-8.44E-01,-2.91E+00,-1.09E+01,-1.44E+01,-9.97E+00,,,,,
4,-8.44E-01,-2.78E+00,-8.53E+00,-1.17E+01,-8.41E+00,,,,,
5,-5.66E-01,-2.14E+00,-6.96E+00,-9.69E+00,-7.25E+00,,,,,
6,-4.59E-01,-1.82E+00,-5.76E+00,-8.12E+00,-6.24E+00,,,,,
7,-4.09E-01,-1.57E+00,-4.87E+00,-6.90E+00,-5.42E+00,,,,,
8,-3.22E-01,-1.38E+00,-4.20E+00,-5.96E+00,-4.77E+00,,,,,
9,-2.97E-01,-1.22E+00,-3.69E+00,-5.23E+00,-4.27E+00,,,,,
10,-2.67E-01,-1.13E+00,-3.28E+00,-4.63E+00,-3.82E+00,,,,,
11,-2.37E-01,-1.03E+00,-2.95E+00,-4.15E+00,-3.50E+00,,,,,
12,-2.12E-01,-9.55E-01,-2.72E+00,-3.76E+00,-3.22E+00,,,,,
13,-1.92E-01,-8.92E-01,-2.50E+00,-3.43E+00,-2.98E+00,,,,,
14,-1.77E-01,-8.39E-01,-2.33E+00,-3.20E+00,-2.78E+00,,,,,
15,-1.65E-01,-7.90E-01,-2.18E+00,-2.98E+00,-2.62E+00,,,,,
16,-1.54E-01,-7.60E-01,-2.05E+00,-2.79E+00,-2.48E+00,,,,,
17,-1.44E-01,-7.32E-01,-1.94E+00,-2.62E+00,-2.35E+00,,,,,
18,-1.36E-01,-7.01E-01,-1.85E+00,-2.48E+00,-2.24E+00,,,,,
19,-1.30E-01,-6.71E-01,-1.77E+00,-2.36E+00,-2.15E+00,,,,,
20,-1.24E-01,-6.43E-01,-1.70E+00,-2.26E+00,-2.07E+00,,,,,
21,-1.18E-01,-6.20E-01,-1.64E+00,-2.17E+00,-2.00E+00,,,,,
22,-1.14E-01,-5.99E-01,-1.58E+00,-2.08E+00,-1.92E+00,,,,,
23,-1.10E-01,-5.83E-01,-1.54E+00,-2.00E+00,-1.87E+00,,,,,
24,-1.06E-01,-5.67E-01,-1.49E+00,-1.94E+00,-1.82E+00,,,,,
25,-1.03E-01,-5.49E-01,-1.45E+00,-1.89E+00,-1.77E+00,,,,,
26,-9.96E-02,-5.34E-01,-1.41E+00,-1.84E+00,-1.73E+00,,,,,
27,-9.71E-02,-5.20E-01,-1.37E+00,-1.79E+00,-1.70E+00,,,,,
28,-9.51E-02,-5.09E-01,-1.34E+00,-1.75E+00,-1.66E+00,,,,,
29,-9.50E-02,-4.98E-01,-1.31E+00,-1.70E+00,-1.63E+00,,,,,
30,-9.50E-02,-4.88E-01,-1.28E+00,-1.66E+00,-1.60E+00,,,,,
31,-9.49E-02,-4.78E-01,-1.26E+00,-1.63E+00,-1.57E+00,,,,,
32,-9.41E-02,-4.69E-01,-1.23E+00,-1.59E+00,-1.55E+00,,,,,
33,-9.24E-02,-4.60E-01,-1.21E+00,-1.56E+00,-1.52E+00,,,,,
34,-9.17E-02,-4.55E-01,-1.18E+00,-1.53E+00,-1.50E+00,,,,,
35,-9.03E-02,-4.48E-01,-1.16E+00,-1.51E+00,-1.48E+00,,,,,
36,-8.84E-02,-4.41E-01,-1.14E+00,-1.48E+00,-1.46E+00,,,,,
37,-8.70E-02,-4.35E-01,-1.12E+00,-1.46E+00,-1.44E+00,,,,,
38,-8.60E-02,-4.29E-01,-1.11E+00,-1.44E+00,-1.42E+00,,,,,
39,-8.47E-02,-4.23E-01,-1.09E+00,-1.41E+00,-1.40E+00,,,,,
40,-8.35E-02,-4.17E-01,-1.07E+00,-1.39E+00,-1.38E+00,,,,,
41,-8.21E-02,-4.11E-01,-1.06E+00,-1.38E+00,-1.36E+00,,,,,
42,-8.09E-02,-4.06E-01,-1.04E+00,-1.36E+00,-1.35E+00,,,,,
43,-8.00E-02,-4.01E-01,-1.03E+00,-1.34E+00,-1.33E+00,,,,,
44,-7.86E-02,-3.96E-01,-1.02E+00,-1.33E+00,-1.31E+00,,,,,
