Operating Voltage,GO Conc.,Amine Conc. (mol/L) ,NaOH Conc.  (mol/L),Rxn. Time (hr),Rxn. Temp (ï¿½C),Mixing speed (rpm),Drying time (min),Drying Temp (ï¿½C),Centrifuge (rpm),Centrifuge (min),,,,,
0.1,10,1,1,24,22,110,10,60,7600,45,,,,,
Time,0.73,1.42,2.72,3.95,4.85,5.73,6.47,9.45,7.62,6.64,4.75,4.01,3.04,1.93,0.8
0,-6.78E+00,-3.78E+00,-1.15E+01,-1.28E+01,-2.05E+01,-3.27E+01,-4.07E+01,-3.98E+01,-4.21E+01,-2.95E+01,-2.26E+01,-2.71E+01,-1.53E+01,-1.11E+01,-4.97E+00
1,-4.59E+00,-2.84E+00,-7.78E+00,-8.84E+00,-1.37E+01,-2.27E+01,-2.66E+01,-2.60E+01,-2.77E+01,-1.98E+01,-1.52E+01,-1.82E+01,-1.05E+01,-7.78E+00,-3.59E+00
2,-3.09E+00,-1.97E+00,-5.59E+00,-6.59E+00,-9.84E+00,-1.68E+01,-1.89E+01,-1.85E+01,-1.98E+01,-1.45E+01,-1.10E+01,-1.32E+01,-7.78E+00,-5.84E+00,-2.84E+00
3,-2.84E+00,-1.84E+00,-3.97E+00,-4.91E+00,-7.59E+00,-1.29E+01,-1.40E+01,-1.39E+01,-1.50E+01,-1.10E+01,-8.66E+00,-9.91E+00,-5.84E+00,-4.62E+00,-1.91E+00
4,-1.91E+00,-1.53E+00,-3.03E+00,-3.91E+00,-5.91E+00,-1.01E+01,-1.09E+01,-1.08E+01,-1.18E+01,-8.84E+00,-6.84E+00,-7.84E+00,-4.84E+00,-3.72E+00,-1.84E+00
5,-1.71E+00,-1.28E+00,-2.77E+00,-3.52E+00,-5.04E+00,-8.50E+00,-9.04E+00,-9.05E+00,-9.90E+00,-7.42E+00,-5.69E+00,-6.52E+00,-4.01E+00,-3.07E+00,-1.42E+00
6,-1.41E+00,-1.12E+00,-2.31E+00,-3.02E+00,-4.23E+00,-7.11E+00,-7.48E+00,-7.60E+00,-8.34E+00,-6.25E+00,-4.80E+00,-5.38E+00,-3.36E+00,-2.59E+00,-1.18E+00
7,-1.15E+00,-9.59E-01,-1.92E+00,-2.62E+00,-3.63E+00,-6.07E+00,-6.35E+00,-6.55E+00,-7.20E+00,-5.38E+00,-4.12E+00,-4.54E+00,-2.87E+00,-2.22E+00,-1.02E+00
8,-1.00E+00,-8.41E-01,-1.64E+00,-2.34E+00,-3.20E+00,-5.27E+00,-5.47E+00,-5.77E+00,-6.33E+00,-4.72E+00,-3.62E+00,-3.91E+00,-2.50E+00,-1.94E+00,-8.84E-01
9,-8.22E-01,-7.72E-01,-1.42E+00,-2.13E+00,-2.83E+00,-4.64E+00,-4.82E+00,-5.17E+00,-5.64E+00,-4.20E+00,-3.22E+00,-3.41E+00,-2.20E+00,-1.72E+00,-7.72E-01
10,-7.52E-01,-7.22E-01,-1.29E+00,-2.00E+00,-2.58E+00,-4.15E+00,-4.28E+00,-4.72E+00,-5.10E+00,-3.78E+00,-2.91E+00,-3.02E+00,-1.97E+00,-1.53E+00,-7.06E-01
11,-6.62E-01,-6.63E-01,-1.16E+00,-1.87E+00,-2.38E+00,-3.75E+00,-3.85E+00,-4.33E+00,-4.63E+00,-3.44E+00,-2.67E+00,-2.71E+00,-1.78E+00,-1.38E+00,-6.41E-01
12,-5.88E-01,-6.14E-01,-1.05E+00,-1.76E+00,-2.20E+00,-3.42E+00,-3.52E+00,-4.04E+00,-4.27E+00,-3.19E+00,-2.47E+00,-2.46E+00,-1.63E+00,-1.26E+00,-5.88E-01
13,-5.29E-01,-5.72E-01,-9.67E-01,-1.67E+00,-2.06E+00,-3.18E+00,-3.24E+00,-3.82E+00,-3.95E+00,-2.98E+00,-2.30E+00,-2.26E+00,-1.50E+00,-1.16E+00,-5.46E-01
14,-4.81E-01,-5.38E-01,-8.95E-01,-1.60E+00,-1.94E+00,-2.97E+00,-3.04E+00,-3.62E+00,-3.72E+00,-2.79E+00,-2.16E+00,-2.09E+00,-1.40E+00,-1.08E+00,-5.10E-01
15,-4.40E-01,-5.09E-01,-8.36E-01,-1.54E+00,-1.84E+00,-2.79E+00,-2.85E+00,-3.47E+00,-3.49E+00,-2.64E+00,-2.04E+00,-1.95E+00,-1.31E+00,-1.01E+00,-4.82E-01
16,-4.08E-01,-4.85E-01,-7.87E-01,-1.48E+00,-1.76E+00,-2.63E+00,-2.68E+00,-3.32E+00,-3.31E+00,-2.50E+00,-1.94E+00,-1.83E+00,-1.23E+00,-9.51E-01,-4.58E-01
17,-3.79E-01,-4.63E-01,-7.47E-01,-1.44E+00,-1.69E+00,-2.49E+00,-2.55E+00,-3.20E+00,-3.15E+00,-2.39E+00,-1.85E+00,-1.73E+00,-1.17E+00,-9.00E-01,-4.38E-01
18,-3.58E-01,-4.46E-01,-7.10E-01,-1.39E+00,-1.62E+00,-2.37E+00,-2.43E+00,-3.10E+00,-3.01E+00,-2.29E+00,-1.77E+00,-1.64E+00,-1.12E+00,-8.59E-01,-4.19E-01
19,-3.39E-01,-4.28E-01,-6.80E-01,-1.35E+00,-1.57E+00,-2.27E+00,-2.33E+00,-3.00E+00,-2.89E+00,-2.20E+00,-1.70E+00,-1.57E+00,-1.07E+00,-8.20E-01,-4.06E-01
20,-3.22E-01,-4.16E-01,-6.58E-01,-1.32E+00,-1.52E+00,-2.19E+00,-2.24E+00,-2.92E+00,-2.79E+00,-2.12E+00,-1.64E+00,-1.50E+00,-1.03E+00,-7.88E-01,-3.95E-01
21,-3.08E-01,-4.04E-01,-6.35E-01,-1.28E+00,-1.48E+00,-2.11E+00,-2.16E+00,-2.85E+00,-2.69E+00,-2.06E+00,-1.59E+00,-1.44E+00,-9.92E-01,-7.58E-01,-3.84E-01
22,-2.95E-01,-3.94E-01,-6.15E-01,-1.26E+00,-1.44E+00,-2.03E+00,-2.08E+00,-2.78E+00,-2.61E+00,-1.99E+00,-1.54E+00,-1.39E+00,-9.60E-01,-7.32E-01,-3.75E-01
23,-2.85E-01,-3.83E-01,-5.98E-01,-1.24E+00,-1.41E+00,-1.96E+00,-2.02E+00,-2.72E+00,-2.53E+00,-1.94E+00,-1.49E+00,-1.35E+00,-9.32E-01,-7.09E-01,-3.67E-01
24,-2.75E-01,-3.74E-01,-5.80E-01,-1.23E+00,-1.37E+00,-1.90E+00,-1.96E+00,-2.67E+00,-2.47E+00,-1.89E+00,-1.45E+00,-1.31E+00,-9.08E-01,-6.89E-01,-3.61E-01
25,-2.65E-01,-3.67E-01,-5.68E-01,-1.21E+00,-1.34E+00,-1.85E+00,-1.91E+00,-2.62E+00,-2.40E+00,-1.84E+00,-1.42E+00,-1.27E+00,-8.84E-01,-6.70E-01,-3.56E-01
26,-2.58E-01,-3.60E-01,-5.56E-01,-1.18E+00,-1.32E+00,-1.80E+00,-1.86E+00,-2.58E+00,-2.35E+00,-1.80E+00,-1.38E+00,-1.23E+00,-8.63E-01,-6.55E-01,-3.51E-01
27,-2.51E-01,-3.51E-01,-5.44E-01,-1.16E+00,-1.29E+00,-1.75E+00,-1.82E+00,-2.54E+00,-2.29E+00,-1.77E+00,-1.35E+00,-1.20E+00,-8.45E-01,-6.39E-01,-3.47E-01
28,-2.45E-01,-3.45E-01,-5.33E-01,-1.13E+00,-1.27E+00,-1.71E+00,-1.78E+00,-2.50E+00,-2.24E+00,-1.73E+00,-1.32E+00,-1.17E+00,-8.29E-01,-6.26E-01,-3.42E-01
29,-2.39E-01,-3.40E-01,-5.24E-01,-1.11E+00,-1.25E+00,-1.67E+00,-1.74E+00,-2.47E+00,-2.20E+00,-1.70E+00,-1.29E+00,-1.15E+00,-8.10E-01,-6.12E-01,-3.39E-01
30,-2.34E-01,-3.36E-01,-5.16E-01,-1.09E+00,-1.23E+00,-1.63E+00,-1.71E+00,-2.44E+00,-2.16E+00,-1.67E+00,-1.26E+00,-1.12E+00,-7.97E-01,-5.99E-01,-3.36E-01
31,-2.29E-01,-3.31E-01,-5.08E-01,-1.07E+00,-1.21E+00,-1.59E+00,-1.68E+00,-2.42E+00,-2.12E+00,-1.64E+00,-1.24E+00,-1.10E+00,-7.82E-01,-5.88E-01,-3.32E-01
32,-2.25E-01,-3.27E-01,-4.99E-01,-1.05E+00,-1.19E+00,-1.56E+00,-1.65E+00,-2.39E+00,-2.08E+00,-1.61E+00,-1.21E+00,-1.08E+00,-7.69E-01,-5.78E-01,-3.30E-01
33,-2.21E-01,-3.24E-01,-4.92E-01,-1.03E+00,-1.17E+00,-1.53E+00,-1.62E+00,-2.37E+00,-2.05E+00,-1.58E+00,-1.19E+00,-1.06E+00,-7.59E-01,-5.68E-01,-3.26E-01
34,-2.18E-01,-3.21E-01,-4.88E-01,-1.01E+00,-1.15E+00,-1.50E+00,-1.59E+00,-2.35E+00,-2.02E+00,-1.56E+00,-1.17E+00,-1.04E+00,-7.48E-01,-5.58E-01,-3.22E-01
35,-2.16E-01,-3.18E-01,-4.79E-01,-9.99E-01,-1.13E+00,-1.47E+00,-1.57E+00,-2.34E+00,-1.99E+00,-1.54E+00,-1.15E+00,-1.03E+00,-7.38E-01,-5.50E-01,-3.20E-01
36,-2.13E-01,-3.15E-01,-4.76E-01,-9.81E-01,-1.12E+00,-1.44E+00,-1.54E+00,-2.32E+00,-1.96E+00,-1.51E+00,-1.13E+00,-1.01E+00,-7.28E-01,-5.42E-01,-3.18E-01
37,-2.10E-01,-3.12E-01,-4.72E-01,-9.69E-01,-1.10E+00,-1.42E+00,-1.52E+00,-2.30E+00,-1.93E+00,-1.49E+00,-1.11E+00,-9.94E-01,-7.19E-01,-5.35E-01,-3.18E-01
38,-2.08E-01,-3.10E-01,-4.67E-01,-9.54E-01,-1.09E+00,-1.39E+00,-1.50E+00,-2.29E+00,-1.91E+00,-1.47E+00,-1.10E+00,-9.79E-01,-7.10E-01,-5.28E-01,-3.16E-01
39,-2.06E-01,-3.07E-01,-4.62E-01,-9.40E-01,-1.08E+00,-1.37E+00,-1.48E+00,-2.27E+00,-1.88E+00,-1.46E+00,-1.08E+00,-9.68E-01,-7.03E-01,-5.20E-01,-3.14E-01
40,-2.03E-01,-3.05E-01,-4.57E-01,-9.29E-01,-1.06E+00,-1.35E+00,-1.46E+00,-2.26E+00,-1.86E+00,-1.44E+00,-1.06E+00,-9.55E-01,-6.98E-01,-5.16E-01,-3.12E-01
41,-2.01E-01,-3.02E-01,-4.53E-01,-9.19E-01,-1.05E+00,-1.33E+00,-1.44E+00,-2.24E+00,-1.84E+00,-1.42E+00,-1.05E+00,-9.42E-01,-6.89E-01,-5.09E-01,-3.11E-01
42,-1.98E-01,-3.00E-01,-4.50E-01,-9.09E-01,-1.04E+00,-1.31E+00,-1.42E+00,-2.23E+00,-1.82E+00,-1.41E+00,-1.03E+00,-9.30E-01,-6.82E-01,-5.04E-01,-3.09E-01
43,-1.97E-01,-2.98E-01,-4.45E-01,-8.98E-01,-1.03E+00,-1.29E+00,-1.40E+00,-2.21E+00,-1.80E+00,-1.39E+00,-1.02E+00,-9.20E-01,-6.78E-01,-4.98E-01,-3.07E-01
44,-1.94E-01,-2.96E-01,-4.41E-01,-8.88E-01,-1.02E+00,-1.27E+00,-1.39E+00,-2.19E+00,-1.78E+00,-1.37E+00,-1.01E+00,-9.10E-01,-6.70E-01,-4.92E-01,-3.05E-01
45,-1.93E-01,-2.94E-01,-4.37E-01,-8.78E-01,-1.01E+00,-1.25E+00,-1.37E+00,-2.18E+00,-1.76E+00,-1.36E+00,-9.90E-01,-9.00E-01,-6.67E-01,-4.88E-01,-3.03E-01
46,-1.91E-01,-2.92E-01,-4.34E-01,-8.69E-01,-9.99E-01,-1.23E+00,-1.36E+00,-2.16E+00,-1.74E+00,-1.35E+00,-9.79E-01,-8.91E-01,-6.60E-01,-4.83E-01,-3.01E-01
