pH,Temperature,Rinse
7.04,25,1
Time,0.8,NaN
0,-2.90632,NaN
1,-1.90639,NaN
2,-1.78123,NaN
3,-1.53136,NaN
4,-1.15633,NaN
5,-1.05314,NaN
6,-0.971889,NaN
7,-0.915647,NaN
8,-0.853133,NaN
9,-0.81563,NaN
10,-0.769074,NaN
11,-0.735949,NaN
12,-0.708449,NaN
13,-0.682198,NaN
14,-0.660323,NaN
15,-0.639697,NaN
16,-0.620947,NaN
17,-0.604072,NaN
18,-0.587196,NaN
19,-0.572821,NaN
20,-0.559696,NaN
21,-0.546571,NaN
22,-0.534695,NaN
23,-0.523446,NaN
24,-0.513445,NaN
25,-0.503446,NaN
26,-0.49407,NaN
27,-0.48532,NaN
28,-0.477195,NaN
29,-0.469694,NaN
30,-0.461569,NaN
31,-0.454071,NaN
32,-0.447819,NaN
33,-0.440319,NaN
34,-0.434694,NaN
35,-0.428445,NaN
36,-0.422819,NaN
37,-0.417819,NaN
38,-0.412195,NaN
39,-0.407195,NaN
40,-0.402193,NaN
41,-0.397818,NaN
42,-0.391725,NaN
43,-0.38735,NaN
44,-0.3831,NaN
45,-0.379037,NaN
46,-0.375224,NaN
47,-0.371349,NaN
48,-0.367787,NaN
49,-0.364412,NaN
50,-0.361287,NaN
