pH,Temperature
10,24
Time,2.2
0,-3.53122
1,-2.90632
2,-2.40636
3,-2.03133
4,-1.96886
5,-1.7844
6,-1.6844
7,-1.5969
8,-1.52814
9,-1.4719
10,-1.40721
11,-1.35846
12,-1.31533
13,-1.27596
14,-1.23971
15,-1.20658
16,-1.17658
17,-1.14783
18,-1.12221
19,-1.09783
20,-1.0747
21,-1.05408
22,-1.03408
23,-1.0147
24,-0.997828
25,-0.980327
26,-0.964078
27,-0.948452
28,-0.933452
29,-0.919702
30,-0.906577
31,-0.894077
32,-0.882201
33,-0.870326
34,-0.859076
35,-0.848451
36,-0.837826
37,-0.8272
38,-0.817825
39,-0.80845
40,-0.7997
41,-0.79095
42,-0.7822
43,-0.774075
44,-0.766574
45,-0.759075
46,-0.751574
47,-0.744075
48,-0.737199
49,-0.730948
50,-0.724074
