pH,Temperature,Rinse
10,24,1
Time,5.5,NaN
0,-9.90653,NaN
1,-7.40647,NaN
2,-6.09398,NaN
3,-5.65624,NaN
4,-4.96888,NaN
5,-4.50945,NaN
6,-4.21569,NaN
7,-3.97818,NaN
8,-3.7782,NaN
9,-3.60317,NaN
10,-3.45037,NaN
11,-3.31786,NaN
12,-3.19974,NaN
13,-3.09286,NaN
14,-2.99598,NaN
15,-2.90786,NaN
16,-2.82661,NaN
17,-2.7516,NaN
18,-2.68223,NaN
19,-2.61785,NaN
20,-2.5566,NaN
21,-2.50035,NaN
22,-2.4466,NaN
23,-2.3966,NaN
24,-2.3491,NaN
25,-2.3041,NaN
26,-2.26097,NaN
27,-2.22097,NaN
28,-2.18347,NaN
29,-2.1466,NaN
30,-2.11159,NaN
31,-2.07847,NaN
32,-2.04659,NaN
33,-2.01659,NaN
34,-1.98784,NaN
35,-1.95972,NaN
36,-1.93284,NaN
37,-1.90722,NaN
38,-1.88222,NaN
39,-1.85847,NaN
40,-1.83597,NaN
41,-1.81347,NaN
42,-1.79222,NaN
43,-1.77159,NaN
44,-1.75159,NaN
45,-1.73284,NaN
46,-1.71409,NaN
47,-1.69596,NaN
48,-1.67909,NaN
49,-1.66159,NaN
50,-1.64534,NaN
