pH,Temperature,omit,omit
10,24,omit,omit
Time,0.9,0.9,0.9
0,-1.91E+00,-1.84E+00,-1.84E+00
1,-1.28E+00,-1.09E+00,-1.09E+00
2,-1.03E+00,-9.69E-01,-9.69E-01
3,-9.69E-01,-9.69E-01,-9.69E-01
4,-9.69E-01,-9.06E-01,-9.06E-01
5,-7.59E-01,-7.41E-01,-7.34E-01
6,-7.09E-01,-6.97E-01,-6.91E-01
7,-6.72E-01,-6.59E-01,-6.66E-01
8,-6.41E-01,-6.34E-01,-6.34E-01
9,-6.09E-01,-6.09E-01,-6.09E-01
10,-5.81E-01,-5.81E-01,-5.87E-01
11,-5.60E-01,-5.61E-01,-5.69E-01
12,-5.40E-01,-5.43E-01,-5.53E-01
13,-5.23E-01,-5.28E-01,-5.38E-01
14,-5.08E-01,-5.13E-01,-5.25E-01
15,-4.93E-01,-4.99E-01,-5.12E-01
16,-4.80E-01,-4.87E-01,-4.99E-01
17,-4.68E-01,-4.75E-01,-4.87E-01
18,-4.57E-01,-4.64E-01,-4.77E-01
19,-4.47E-01,-4.54E-01,-4.67E-01
20,-4.37E-01,-4.45E-01,-4.57E-01
21,-4.28E-01,-4.35E-01,-4.47E-01
22,-4.18E-01,-4.27E-01,-4.39E-01
23,-4.10E-01,-4.18E-01,-4.31E-01
24,-4.03E-01,-4.11E-01,-4.23E-01
25,-3.96E-01,-4.04E-01,-4.14E-01
26,-3.89E-01,-3.97E-01,-4.07E-01
27,-3.83E-01,-3.90E-01,-4.00E-01
28,-3.77E-01,-3.83E-01,-3.94E-01
29,-3.71E-01,-3.77E-01,-3.87E-01
30,-3.65E-01,-3.71E-01,-3.82E-01
31,-3.60E-01,-3.66E-01,-3.76E-01
32,-3.55E-01,-3.61E-01,-3.70E-01
33,-3.50E-01,-3.56E-01,-3.65E-01
34,-3.46E-01,-3.51E-01,-3.60E-01
35,-3.41E-01,-3.46E-01,-3.55E-01
36,-3.37E-01,-3.42E-01,-3.51E-01
37,-3.33E-01,-3.38E-01,-3.46E-01
38,-3.29E-01,-3.34E-01,-3.42E-01
39,-3.25E-01,-3.30E-01,-3.38E-01
40,-3.21E-01,-3.26E-01,-3.34E-01
41,-3.18E-01,-3.22E-01,-3.30E-01
42,-3.14E-01,-3.19E-01,-3.26E-01
43,-3.11E-01,-3.15E-01,-3.23E-01
44,-3.08E-01,-3.12E-01,-3.19E-01
45,-3.05E-01,-3.09E-01,-3.16E-01
46,-3.02E-01,-3.06E-01,-3.12E-01
47,-2.99E-01,-3.03E-01,-3.09E-01
48,-2.96E-01,-3.00E-01,-3.06E-01
49,-2.93E-01,-2.97E-01,-3.03E-01
50,-2.91E-01,-2.94E-01,-3.00E-01
