pH,Temperature,Rinse,,
5.05,24,1,,
Time,2.2,2.5,2.5,2.5
0,-6.90627,-7.16E+00,-6.97E+00,-6.97E+00
1,-4.90642,-4.97E+00,-4.91E+00,-4.91E+00
2,-3.90625,-3.97E+00,-3.91E+00,-3.91E+00
3,-3.28135,-3.47E+00,-3.41E+00,-3.41E+00
4,-2.96879,-2.97E+00,-2.97E+00,-2.97E+00
5,-2.59693,-2.66E+00,-2.62E+00,-2.65E+00
6,-2.39692,-2.45E+00,-2.41E+00,-2.45E+00
7,-2.24066,-2.28E+00,-2.25E+00,-2.28E+00
8,-2.10316,-2.14E+00,-2.11E+00,-2.15E+00
9,-1.99065,-2.02E+00,-2.00E+00,-2.04E+00
10,-1.89409,-1.92E+00,-1.90E+00,-1.94E+00
11,-1.80972,-1.87E+00,-1.81E+00,-1.85E+00
12,-1.73534,-1.77E+00,-1.74E+00,-1.77E+00
13,-1.67034,-1.70E+00,-1.67E+00,-1.70E+00
14,-1.61096,-1.64E+00,-1.62E+00,-1.64E+00
15,-1.55721,-1.58E+00,-1.56E+00,-1.58E+00
16,-1.50846,-1.53E+00,-1.51E+00,-1.53E+00
17,-1.46409,-1.49E+00,-1.47E+00,-1.49E+00
18,-1.42283,-1.45E+00,-1.43E+00,-1.44E+00
19,-1.38533,-1.41E+00,-1.39E+00,-1.41E+00
20,-1.35033,-1.37E+00,-1.36E+00,-1.37E+00
21,-1.31783,-1.34E+00,-1.32E+00,-1.34E+00
22,-1.28783,-1.31E+00,-1.29E+00,-1.31E+00
23,-1.25908,-1.28E+00,-1.26E+00,-1.28E+00
24,-1.23221,-1.25E+00,-1.24E+00,-1.25E+00
25,-1.20721,-1.23E+00,-1.21E+00,-1.22E+00
26,-1.18346,-1.20E+00,-1.19E+00,-1.20E+00
27,-1.16158,-1.18E+00,-1.17E+00,-1.18E+00
28,-1.14033,-1.16E+00,-1.15E+00,-1.15E+00
29,-1.12095,-1.14E+00,-1.13E+00,-1.13E+00
30,-1.10158,-1.12E+00,-1.11E+00,-1.11E+00
31,-1.08345,-1.10E+00,-1.09E+00,-1.10E+00
32,-1.06658,-1.08E+00,-1.07E+00,-1.08E+00
33,-1.05095,-1.07E+00,-1.06E+00,-1.06E+00
34,-1.0347,-1.05E+00,-1.04E+00,-1.05E+00
35,-1.0197,-1.04E+00,-1.03E+00,-1.03E+00
36,-1.00533,-1.02E+00,-1.01E+00,-1.02E+00
37,-0.991578,-1.01E+00,-9.98E-01,-1.00E+00
38,-0.978453,-9.94E-01,-9.85E-01,-9.89E-01
39,-0.965327,-9.81E-01,-9.73E-01,-9.75E-01
40,-0.953453,-9.69E-01,-9.61E-01,-9.64E-01
41,-0.941577,-9.57E-01,-9.49E-01,-9.52E-01
42,-0.930327,-9.45E-01,-9.38E-01,-9.40E-01
43,-0.919702,-9.34E-01,-9.27E-01,-9.29E-01
44,-0.909077,-9.24E-01,-9.17E-01,-9.17E-01
45,-0.899076,-9.14E-01,-9.06E-01,-9.07E-01
46,-0.889076,-9.04E-01,-8.96E-01,-8.97E-01
47,-0.879701,-8.95E-01,-8.87E-01,-8.88E-01
48,-0.870326,-8.85E-01,-8.77E-01,-8.79E-01
49,-0.861576,-8.77E-01,-8.69E-01,-8.69E-01
50,-0.852826,-8.69E-01,-8.60E-01,-8.60E-01
,,,,
