pH,Temperature,Rinse,omit,omit,omit
5.2,24,1,omit,omit,omit
Time,0.9,0.9,0.9,0.9,0.9
0,-3.53E+00,-3.22E+00,-3.09E+00,-2.91E+00,-2.84E+00
1,-2.41E+00,-2.16E+00,-2.03E+00,-1.91E+00,-1.91E+00
2,-1.91E+00,-1.91E+00,-1.91E+00,-1.78E+00,-1.72E+00
3,-1.91E+00,-1.47E+00,-1.72E+00,-1.41E+00,-1.34E+00
4,-1.66E+00,-1.29E+00,-1.34E+00,-1.16E+00,-1.09E+00
5,-1.27E+00,-1.17E+00,-1.13E+00,-1.03E+00,-1.02E+00
6,-1.17E+00,-1.08E+00,-1.04E+00,-9.53E-01,-9.47E-01
7,-1.08E+00,-1.00E+00,-9.72E-01,-9.03E-01,-9.03E-01
8,-1.02E+00,-9.39E-01,-9.09E-01,-8.47E-01,-8.47E-01
9,-9.72E-01,-8.87E-01,-8.66E-01,-8.16E-01,-8.16E-01
10,-9.16E-01,-8.42E-01,-8.14E-01,-7.70E-01,-7.76E-01
11,-8.75E-01,-8.04E-01,-7.77E-01,-7.40E-01,-7.48E-01
12,-8.39E-01,-7.70E-01,-7.45E-01,-7.14E-01,-7.23E-01
13,-8.06E-01,-7.41E-01,-7.17E-01,-6.90E-01,-7.01E-01
14,-7.77E-01,-7.14E-01,-6.92E-01,-6.69E-01,-6.81E-01
15,-7.51E-01,-6.90E-01,-6.68E-01,-6.50E-01,-6.62E-01
16,-7.27E-01,-6.68E-01,-6.48E-01,-6.33E-01,-6.45E-01
17,-7.05E-01,-6.48E-01,-6.29E-01,-6.17E-01,-6.30E-01
18,-6.85E-01,-6.30E-01,-6.12E-01,-6.02E-01,-6.15E-01
19,-6.67E-01,-6.14E-01,-5.95E-01,-5.88E-01,-6.02E-01
20,-6.49E-01,-5.98E-01,-5.81E-01,-5.76E-01,-5.89E-01
21,-6.33E-01,-5.84E-01,-5.67E-01,-5.64E-01,-5.77E-01
22,-6.18E-01,-5.71E-01,-5.54E-01,-5.53E-01,-5.65E-01
23,-6.03E-01,-5.58E-01,-5.42E-01,-5.43E-01,-5.55E-01
24,-5.91E-01,-5.47E-01,-5.32E-01,-5.33E-01,-5.44E-01
25,-5.78E-01,-5.36E-01,-5.21E-01,-5.24E-01,-5.35E-01
26,-5.67E-01,-5.25E-01,-5.12E-01,-5.16E-01,-5.25E-01
27,-5.56E-01,-5.16E-01,-5.02E-01,-5.08E-01,-5.17E-01
28,-5.45E-01,-5.07E-01,-4.93E-01,-5.00E-01,-5.08E-01
29,-5.35E-01,-4.98E-01,-4.85E-01,-4.93E-01,-5.00E-01
30,-5.27E-01,-4.90E-01,-4.77E-01,-4.86E-01,-4.92E-01
31,-5.18E-01,-4.82E-01,-4.70E-01,-4.80E-01,-4.85E-01
32,-5.09E-01,-4.75E-01,-4.63E-01,-4.73E-01,-4.78E-01
33,-5.02E-01,-4.68E-01,-4.56E-01,-4.67E-01,-4.72E-01
34,-4.94E-01,-4.62E-01,-4.50E-01,-4.62E-01,-4.65E-01
35,-4.87E-01,-4.55E-01,-4.44E-01,-4.56E-01,-4.59E-01
36,-4.80E-01,-4.50E-01,-4.38E-01,-4.51E-01,-4.53E-01
37,-4.73E-01,-4.43E-01,-4.32E-01,-4.45E-01,-4.48E-01
38,-4.68E-01,-4.37E-01,-4.27E-01,-4.40E-01,-4.42E-01
39,-4.62E-01,-4.31E-01,-4.22E-01,-4.35E-01,-4.37E-01
40,-4.57E-01,-4.26E-01,-4.17E-01,-4.31E-01,-4.32E-01
41,-4.52E-01,-4.21E-01,-4.12E-01,-4.26E-01,-4.27E-01
42,-4.47E-01,-4.16E-01,-4.08E-01,-4.22E-01,-4.23E-01
43,-4.42E-01,-4.12E-01,-4.03E-01,-4.18E-01,-4.18E-01
44,-4.37E-01,-4.07E-01,-4.00E-01,-4.15E-01,-4.14E-01
45,-4.33E-01,-4.03E-01,-3.94E-01,-4.11E-01,-4.10E-01
46,-4.30E-01,-3.99E-01,-3.90E-01,-4.07E-01,-4.06E-01
47,-4.26E-01,-3.95E-01,-3.86E-01,-4.04E-01,-4.02E-01
48,-4.22E-01,-3.91E-01,-3.82E-01,-4.01E-01,-3.99E-01
49,-4.19E-01,-3.88E-01,-3.78E-01,-3.98E-01,-3.95E-01
50,-4.15E-01,-3.84E-01,-3.75E-01,-3.95E-01,-3.92E-01
