pH,Temperature,Rinse
6.4,24,1
Time,2.2,NaN
0,-6.40631,NaN
1,-4.59385,NaN
2,-3.84378,NaN
3,-3.03125,NaN
4,-2.90632,NaN
5,-2.47192,NaN
6,-2.27816,NaN
7,-2.12815,NaN
8,-2.00317,NaN
9,-1.89691,NaN
10,-1.80534,NaN
11,-1.72659,NaN
12,-1.65721,NaN
13,-1.59471,NaN
14,-1.53971,NaN
15,-1.48971,NaN
16,-1.44408,NaN
17,-1.40221,NaN
18,-1.36408,NaN
19,-1.32846,NaN
20,-1.29596,NaN
21,-1.26533,NaN
22,-1.23721,NaN
23,-1.21033,NaN
24,-1.18471,NaN
25,-1.16033,NaN
26,-1.13783,NaN
27,-1.11658,NaN
28,-1.0972,NaN
29,-1.07783,NaN
30,-1.0597,NaN
31,-1.04283,NaN
32,-1.02658,NaN
33,-1.01158,NaN
34,-0.995953,NaN
35,-0.981578,NaN
36,-0.968453,NaN
37,-0.955328,NaN
38,-0.942827,NaN
39,-0.930952,NaN
40,-0.919076,NaN
41,-0.909702,NaN
42,-0.897201,NaN
43,-0.886576,NaN
44,-0.876576,NaN
45,-0.866576,NaN
46,-0.857201,NaN
47,-0.847826,NaN
48,-0.839701,NaN
49,-0.831575,NaN
50,-0.82345,NaN
