pH,Temperature
6.4,24
Time,0.9
0,-3.09372
1,-2.03133
2,-1.90639
3,-1.71876
4,-1.34373
5,-1.1344
6,-1.04065
7,-0.971889
8,-0.9094
9,-0.86565
10,-0.81345
11,-0.776575
12,-0.744699
13,-0.716574
14,-0.691574
15,-0.668448
16,-0.647823
17,-0.629072
18,-0.611572
19,-0.595322
20,-0.580946
21,-0.567197
22,-0.554072
23,-0.542196
24,-0.531571
25,-0.520946
26,-0.51157
27,-0.502195
28,-0.493445
29,-0.48532
30,-0.477195
31,-0.470319
32,-0.462821
33,-0.455945
34,-0.449696
35,-0.444069
36,-0.43782
37,-0.432193
38,-0.427194
39,-0.421569
40,-0.417194
41,-0.412195
42,-0.40782
43,-0.403445
44,-0.399694
45,-0.393537
46,-0.389537
47,-0.385662
48,-0.381975
49,-0.378412
50,-0.374974
