pH,Temperature,,,
7.04,24,,,
Time,0.9,0.9,0.8,0.9
0,-2.97E+00,-2.91E+00,-2.84E+00,-2.91E+00
1,-1.97E+00,-1.97E+00,-1.91E+00,-1.91E+00
2,-1.60E+00,-1.84E+00,-1.53E+00,-1.72E+00
3,-1.39E+00,-1.59E+00,-1.16E+00,-1.34E+00
4,-1.25E+00,-1.28E+00,-1.03E+00,-1.16E+00
5,-1.14E+00,-1.10E+00,-9.53E-01,-1.05E+00
6,-1.07E+00,-1.03E+00,-8.78E-01,-9.84E-01
7,-9.85E-01,-9.72E-01,-8.28E-01,-9.41E-01
8,-9.31E-01,-9.09E-01,-7.84E-01,-8.91E-01
9,-8.85E-01,-8.72E-01,-7.53E-01,-8.53E-01
10,-8.45E-01,-8.24E-01,-7.14E-01,-8.12E-01
11,-8.10E-01,-7.89E-01,-6.87E-01,-7.80E-01
12,-7.79E-01,-7.58E-01,-6.63E-01,-7.52E-01
13,-7.51E-01,-7.32E-01,-6.42E-01,-7.27E-01
14,-7.27E-01,-7.07E-01,-6.22E-01,-7.04E-01
15,-7.04E-01,-6.85E-01,-6.05E-01,-6.83E-01
16,-6.83E-01,-6.65E-01,-5.89E-01,-6.64E-01
17,-6.65E-01,-6.47E-01,-5.75E-01,-6.47E-01
18,-6.47E-01,-6.30E-01,-5.62E-01,-6.30E-01
19,-6.32E-01,-6.14E-01,-5.49E-01,-6.17E-01
20,-6.17E-01,-5.98E-01,-5.38E-01,-6.02E-01
21,-6.03E-01,-5.85E-01,-5.27E-01,-5.89E-01
22,-5.90E-01,-5.73E-01,-5.17E-01,-5.77E-01
23,-5.78E-01,-5.61E-01,-5.08E-01,-5.66E-01
24,-5.67E-01,-5.50E-01,-4.98E-01,-5.56E-01
25,-5.56E-01,-5.39E-01,-4.91E-01,-5.45E-01
26,-5.46E-01,-5.29E-01,-4.85E-01,-5.36E-01
27,-5.37E-01,-5.20E-01,-4.75E-01,-5.27E-01
28,-5.27E-01,-5.12E-01,-4.68E-01,-5.18E-01
29,-5.18E-01,-5.03E-01,-4.62E-01,-5.10E-01
30,-5.10E-01,-4.95E-01,-4.54E-01,-5.02E-01
31,-5.03E-01,-4.87E-01,-4.48E-01,-4.95E-01
32,-4.95E-01,-4.80E-01,-4.42E-01,-4.88E-01
33,-4.87E-01,-4.73E-01,-4.36E-01,-4.80E-01
34,-4.81E-01,-4.67E-01,-4.31E-01,-4.74E-01
35,-4.74E-01,-4.60E-01,-4.26E-01,-4.68E-01
36,-4.68E-01,-4.55E-01,-4.21E-01,-4.61E-01
37,-4.62E-01,-4.48E-01,-4.16E-01,-4.56E-01
38,-4.56E-01,-4.43E-01,-4.12E-01,-4.50E-01
39,-4.50E-01,-4.37E-01,-4.07E-01,-4.45E-01
40,-4.45E-01,-4.33E-01,-4.03E-01,-4.40E-01
41,-4.39E-01,-4.27E-01,-3.99E-01,-4.35E-01
42,-4.34E-01,-4.23E-01,-3.95E-01,-4.29E-01
43,-4.30E-01,-4.18E-01,-3.92E-01,-4.25E-01
44,-4.24E-01,-4.13E-01,-3.88E-01,-4.20E-01
45,-4.19E-01,-4.09E-01,-3.85E-01,-4.17E-01
46,-4.14E-01,-4.05E-01,-3.81E-01,-4.11E-01
47,-4.10E-01,-4.01E-01,-3.78E-01,-4.07E-01
48,-4.06E-01,-3.97E-01,-3.75E-01,-4.03E-01
49,-4.02E-01,-3.93E-01,-3.72E-01,-3.99E-01
50,-3.98E-01,-3.88E-01,-3.69E-01,-3.95E-01
,,,,
