pH,Temperature,Rinse
8.4,24,1
Time,0.9,NaN
0,-3.09372,NaN
1,-2.03133,NaN
2,-1.90639,NaN
3,-1.71876,NaN
4,-1.34373,NaN
5,-1.1344,NaN
6,-1.04065,NaN
7,-0.971889,NaN
8,-0.9094,NaN
9,-0.86565,NaN
10,-0.81345,NaN
11,-0.776575,NaN
12,-0.744699,NaN
13,-0.716574,NaN
14,-0.691574,NaN
15,-0.668448,NaN
16,-0.647823,NaN
17,-0.629072,NaN
18,-0.611572,NaN
19,-0.595322,NaN
20,-0.580946,NaN
21,-0.567197,NaN
22,-0.554072,NaN
23,-0.542196,NaN
24,-0.531571,NaN
25,-0.520946,NaN
26,-0.51157,NaN
27,-0.502195,NaN
28,-0.493445,NaN
29,-0.48532,NaN
30,-0.477195,NaN
31,-0.470319,NaN
32,-0.462821,NaN
33,-0.455945,NaN
34,-0.449696,NaN
35,-0.444069,NaN
36,-0.43782,NaN
37,-0.432193,NaN
38,-0.427194,NaN
39,-0.421569,NaN
40,-0.417194,NaN
41,-0.412195,NaN
42,-0.40782,NaN
43,-0.403445,NaN
44,-0.399694,NaN
45,-0.393537,NaN
46,-0.389537,NaN
47,-0.385662,NaN
48,-0.381975,NaN
49,-0.378412,NaN
50,-0.374974,NaN
